Date	SANDP	FORD
Jan-02	1130.2	12.57
Feb-02	1106.73	12.23
Mar-02	1147.39	13.55
Apr-02	1076.92	13.15
May-02	1067.14	14.59
Jun-02	989.82	13.23
Jul-02	911.62	11.22
Aug-02	916.07	9.81
Sep-02	815.28	8.17
Oct-02	885.76	7.13
Nov-02	936.31	9.6
Dec-02	879.82	7.84
Jan-03	855.7	7.76
Feb-03	841.15	7.09
Mar-03	848.18	6.41
Apr-03	916.92	8.86
May-03	963.59	9.04
Jun-03	974.5	9.46
Jul-03	990.31	9.61
Aug-03	1008.01	10.04
Sep-03	995.97	9.35
Oct-03	1050.71	10.62
Nov-03	1058.2	11.56
Dec-03	1111.92	14.01
Jan-04	1131.13	12.81
Feb-04	1144.94	12.12
Mar-04	1126.21	11.96
Apr-04	1107.3	13.62
May-04	1120.68	13.17
Jun-04	1140.84	13.88
Jul-04	1101.72	13.14
Aug-04	1104.24	12.6
Sep-04	1114.58	12.54
Oct-04	1130.2	11.72
Nov-04	1173.82	12.75
Dec-04	1211.92	13.17
Jan-05	1181.27	11.94
Feb-05	1203.6	11.47
Mar-05	1180.59	10.27
Apr-05	1156.85	8.35
May-05	1191.5	9.14
Jun-05	1191.33	9.38
Jul-05	1234.18	9.93
Aug-05	1220.33	9.22
Sep-05	1228.81	9.12
Oct-05	1207.01	7.79
Nov-05	1249.48	7.61
Dec-05	1248.29	7.23
Jan-06	1280.08	8.13
Feb-06	1280.66	7.55
Mar-06	1294.87	7.54
Apr-06	1310.61	6.67
May-06	1270.09	6.88
Jun-06	1270.2	6.66
Jul-06	1276.66	6.45
Aug-06	1303.82	8.1
Sep-06	1335.85	7.83
Oct-06	1377.94	8.01
Nov-06	1400.63	7.86
Dec-06	1418.3	7.27
Jan-07	1438.24	7.86
Feb-07	1406.82	7.65
Mar-07	1420.86	7.63
Apr-07	1482.37	7.78
May-07	1530.62	8.07
Jun-07	1504.66	9.11
Jul-07	1455.18	8.23
Aug-07	1473.96	7.56
Sep-07	1527.29	8.21
Oct-07	1545.79	8.58
Nov-07	1479.63	7.27
Dec-07	1467.97	6.51
Jan-08	1378.6	6.42
Feb-08	1330.45	6.32
Mar-08	1326.41	5.53
Apr-08	1385.97	7.99
May-08	1399.62	6.58
Jun-08	1276.69	4.65
Jul-08	1269.42	4.64
Aug-08	1287.83	4.31
Sep-08	1164.17	5.03
Oct-08	968.67	2.12
Nov-08	888.61	2.6
Dec-08	902.99	2.22
Jan-09	823.09	1.81
Feb-09	729.57	1.93
Mar-09	793.59	2.54
Apr-09	872.74	5.78
May-09	923.26	5.56
Jun-09	920.82	5.87
Jul-09	990.22	7.74
Aug-09	1019.52	7.35
Sep-09	1054.91	6.97
Oct-09	1036.18	6.77
Nov-09	1098.89	8.6
Dec-09	1116.56	9.67
Jan-10	1073.89	10.49
Feb-10	1105.36	11.36
Mar-10	1171.23	12.16
Apr-10	1188.58	12.6
May-10	1087.3	11.35
Jun-10	1031.1	9.75
Jul-10	1107.53	12.35
Aug-10	1049.72	10.92
Sep-10	1143.49	11.84
Oct-10	1185.71	13.67
Nov-10	1186.6	15.42
Dec-10	1257.62	16.24
Jan-11	1289.14	15.43
Feb-11	1328.64	14.56
Mar-11	1329.48	14.42
Apr-11	1365.21	14.97
May-11	1345.2	14.43
Jun-11	1320.64	13.34
Jul-11	1292.59	11.81
Aug-11	1219.12	10.76
Sep-11	1131.21	9.35
Oct-11	1251	11.3
Nov-11	1246.91	10.25
Dec-11	1258.86	10.41
Jan-12	1312.45	12.06
Feb-12	1365.9	12.02
Mar-12	1408.47	12.12
Apr-12	1397.86	11
May-12	1309.87	10.3
Jun-12	1362.33	9.35
Jul-12	1379.32	9.01
Aug-12	1406.54	9.16
Sep-12	1440.9	9.67
Oct-12	1412.2	11
Nov-12	1416.34	11.28
Dec-12	1426.19	12.76
Jan-13	1498.11	12.86
Feb-13	1514.68	12.52
Mar-13	1569.18	13.05
Apr-13	1597.55	13.61
