dates,Portfolio,Market,Size,Value,Momentum
1980m10,0.0179221,0.0489989,-0.001831,-0.0733364,0.0476424
1980m11,-0.0075567,-0.0020688,0.0064682,-0.0169821,-0.0027695
1980m12,-0.0229449,-0.0543503,0.0029056,-0.0023015,0.0059411
1981m1,0.0303089,-0.0159312,0.0199797,0.0044716,-0.0041554
1981m2,0.0338861,0.0485283,-0.0081741,0.0219491,-0.0145486
1981m3,0.0303168,0.0141334,0.0470975,-0.0112812,0.0076103
1981m4,0.0884082,0.0680993,-0.0092263,0.0759792,-0.058026
1981m5,-0.0002118,-0.0543188,0.0456691,-0.0127996,0.0169563
1981m6,0.0066232,0.0112157,-0.0172064,-0.0271622,0.0677993
1981m7,-0.0085185,-0.0097327,0.0102559,-0.017588,-0.0005909
1981m8,0.0291406,0.0419444,-0.0241832,0.0043576,0.0307563
1981m9,-0.1395634,-0.1750274,0.0108731,0.0320681,-0.0278824
1981m10,0.0253825,0.0213517,0.0062188,-0.0145637,-0.0224058
1981m11,0.0386709,0.0952558,-0.0383248,0.0208289,0.010009
1981m12,0.0079392,-0.0130568,0.0287292,0.020148,0.0170311
1982m1,0.0450859,0.0512223,0.0151891,0.0308852,0.0127488
1982m2,-0.0102384,-0.0481179,0.0305132,-0.0076212,0.030266
1982m3,0.0148753,0.0257463,-0.014977,-0.0309787,-0.012317
1982m4,-0.0211093,-0.0007742,-0.0146254,-0.0138705,-0.0048224
1982m5,0.0009664,0.0234559,-0.0038783,-0.0148719,0.0336738
1982m6,-0.0331258,-0.0483222,-0.0059354,-0.0109816,0.0399381
1982m7,-0.0070885,0.0306618,-0.0010531,-0.0434584,0.0164994
1982m8,-0.016924,0.0252227,-0.0233413,-0.0208465,0.0166694
1982m9,-0.0080597,0.0508136,-0.0188474,-0.0830723,0.097397
1982m10,0.0522217,0.019266,-0.010026,0.0335445,0.0004925
1982m11,0.1245624,0.012126,0.0440538,-0.0406957,0.061175
1982m12,0.0568971,0.0147872,-0.0074736,-0.0076734,-0.0016223
1983m1,0.1262165,0.0292131,0.030012,0.0491818,-0.0374277
1983m2,0.0623016,0.0065943,0.0233476,-0.0013955,0.0108785
1983m3,0.0057378,0.027582,0.0039902,0.0537921,-0.0190359
1983m4,0.0652524,0.0628497,-0.0237192,0.0477581,-0.0427757
1983m5,0.006493,-0.0075381,-0.0116283,-0.0108502,-0.0101857
1983m6,0.029487,0.0437301,-0.0005095,0.0207663,0.0069306
1983m7,0.0180846,-0.0305421,0.0226778,-0.007532,0.0392531
1983m8,0.0356942,0.0063249,-0.0201525,0.0355062,0.027316
1983m9,-0.0137578,-0.0139609,-0.0048284,0.018993,0.0017475
1983m10,0.0174882,-0.0213717,-0.012483,0.0267581,-0.0298821
1983m11,0.0520737,0.0530389,0.0041391,-0.0005635,0.0182748
1983m12,0.0276635,0.0155695,0.0038085,0.0149452,0.0083098
1984m1,0.0902788,0.0623023,0.0098286,0.0438854,0.0219001
1984m2,0.0410356,-0.0199088,0.0181935,0.0119937,-0.0030844
1984m3,0.0370218,0.0602147,-0.0344402,0.0079502,-0.0008695
